googleapis/java-bigquery java-bigquery v2.32.0 google-cloud-bigquery
googleapis/java-bigquerystorage java-bigquerystorage v2.42.0 google-cloud-bigquerystorage-bom
googleapis/java-bigtable java-bigtable v2.27.2 google-cloud-bigtable-bom
googleapis/java-datastore java-datastore v2.17.1 google-cloud-datastore-bom
googleapis/java-firestore java-firestore v3.14.3 google-cloud-firestore-bom
googleapis/java-logging java-logging v3.15.9 google-cloud-logging-bom
googleapis/java-logging-logback java-logging-logback v0.130.22-alpha google-cloud-logging-logback
googleapis/java-storage-nio java-storage-nio v0.127.3 google-cloud-nio
googleapis/java-pubsub java-pubsub v1.125.0 google-cloud-pubsub-bom
googleapis/java-pubsublite java-pubsublite v1.12.14 google-cloud-pubsublite-bom
googleapis/java-spanner java-spanner v6.47.0 google-cloud-spanner-bom
googleapis/java-spanner-jdbc java-spanner-jdbc v2.12.1 google-cloud-spanner-jdbc
googleapis/java-storage java-storage v2.27.0 google-cloud-storage-bom
googleapis/google-auth-library-java google-auth-library-java v1.19.0 google-auth-library
